,host_acceptance_rate,host_response_rate,price,number_of_reviews,review_scores_location,review_scores_cleanliness,availability_365,reviews_per_month,review_scores_communication,room_type,property_type
111,0.0,1.0,457.0,2,1.0,1.0,365,0.02,3.0,Private room,Private room in rental unit
112,0.99,1.0,1466.0,85,4.91,4.79,30,0.78,4.96,Entire home/apt,Entire loft
113,0.93,1.0,2033.0,257,4.96,4.94,234,1.97,4.88,Entire home/apt,Entire rental unit
114,1.0,1.0,732.0,2,5.0,5.0,362,0.02,5.0,Private room,Private room in home
115,0.99,0.99,685.0,76,4.88,4.67,298,0.84,4.7,Entire home/apt,Entire rental unit
116,0.5,1.0,2559.0,23,5.0,4.9,11,0.25,4.86,Entire home/apt,Entire rental unit
117,1.0,1.0,817.0,19,4.79,4.74,121,0.27,5.0,Entire home/apt,Entire condo
118,0.64,0.9,1071.0,8,3.25,3.5,327,0.07,3.75,Entire home/apt,Entire rental unit
119,1.0,1.0,876.0,34,4.91,4.88,333,0.26,4.97,Entire home/apt,Entire rental unit
120,0.74,1.0,1489.0,43,4.76,4.78,356,0.39,4.89,Entire home/apt,Entire loft
121,0.81,1.0,1900.0,0,4.67,4.87,116,0.13,5.0,Private room,Private room in rental unit
122,0.92,1.0,708.0,15,4.67,4.87,48,0.13,5.0,Entire home/apt,Entire condo
123,0.92,1.0,1350.0,147,4.87,4.76,365,1.33,4.9,Entire home/apt,Entire loft
124,0.81,1.0,3420.0,25,4.88,4.96,207,0.19,4.83,Entire home/apt,Entire rental unit
125,0.81,1.0,5820.0,2,5.0,5.0,250,0.02,5.0,Entire home/apt,Entire condo
126,0.86,0.0,220.0,49,4.51,4.77,287,0.46,4.88,Private room,Private room in home
127,0.95,1.0,1237.0,97,4.98,4.84,184,0.75,4.95,Entire home/apt,Entire rental unit
128,0.93,1.0,1947.0,145,4.89,4.92,84,1.29,4.9,Entire home/apt,Entire rental unit
129,0.6,1.0,350.0,0,4.7,4.63,365,0.34,4.67,Private room,Private room in rental unit
130,0.6,1.0,878.0,27,4.7,4.63,256,0.34,4.67,Entire home/apt,Entire rental unit
131,1.0,1.0,550.0,213,4.93,4.66,362,3.51,4.95,Private room,Private room in guest suite
132,0.86,0.83,1036.0,66,4.94,4.91,336,0.6,4.78,Private room,Private room in guest suite
133,0.99,1.0,3089.0,105,4.9,4.84,318,1.22,4.88,Entire home/apt,Entire rental unit
134,1.0,1.0,1271.0,114,5.0,5.0,252,1.17,5.0,Private room,Private room in home
135,0.97,1.0,2723.0,26,5.0,5.0,347,0.2,4.96,Entire home/apt,Entire rental unit
136,1.0,1.0,2934.0,287,4.96,4.95,204,2.22,4.83,Entire home/apt,Entire rental unit
137,0.99,1.0,2814.0,319,5.0,4.95,329,3.11,4.96,Entire home/apt,Entire rental unit
138,1.0,1.0,850.0,47,4.98,4.74,176,0.67,4.96,Private room,Private room in condo
139,0.73,1.0,240.0,27,4.8,4.85,331,0.29,4.96,Private room,Private room in rental unit
140,1.0,1.0,400.0,1,5.0,5.0,209,0.02,5.0,Private room,Private room in home
